product,view_date,contract,expire,dpv_forecast_pts,dpv_truth_pts,err_pts,err_pct,announced_coverage
IM,2025-10-31,IM202512,2025-12-19,2.74,2.74,0.0,,1.0
IM,2025-10-31,IM202603,2026-03-20,4.62,4.62,0.0,,1.0
IM,2025-11-28,IM202512,2025-12-19,1.27,1.27,0.0,,1.0
IM,2025-11-28,IM202601,2026-01-16,2.43,2.43,0.0,,1.0
IM,2025-11-28,IM202603,2026-03-20,3.11,3.11,0.0,,1.0
IM,2025-11-28,IM202606,2026-06-19,42.47,39.74,2.73,6.9,0.112
IM,2025-12-31,IM202601,2026-01-16,0.82,0.82,0.0,,1.0
IM,2025-12-31,IM202602,2026-02-20,1.51,1.51,0.0,,1.0
IM,2025-12-31,IM202603,2026-03-20,1.52,1.52,0.0,,1.0
IM,2025-12-31,IM202606,2026-06-19,42.29,39.46,2.83,7.2,0.06
